AZ,25,B1,5887,Enciso con elevador ,Sale de la línea ,Se puso a poner pelotas en el procesador y se mueve como tanke, cuando pone corales es lento ,2,1
AZ,26,R1,9282,Enciso con elevador ,No se movió ,Se fia a hacer penaltis,1,1
AZ,28,B1,2283,Elevador con una muñeca, de tiene que voltear para recoger y poner corales ,Sale e intenta poner un coral en L4,Fueron a defender contra bot Busters bien ,2,5
AZ,29,R3,3472,Elevador con muñeca ,Sale y pone un coral en L4,Falla los primeros 2 corales ,3,2
AZ,30,R3,8740,Tienen un elevador con una media luna al final con chasis tanke ,Sale e intenta poner un coral en el L4 pero falla ,Jugaba a recoger pelotas del reaf y ponerlas en el procesador, los últimos segundos solo se estacionó ,2,2
AZ,31,R3,6676,Embudo con elevador ,Sale de la luna del inicio ,Se le atoran los corales en el embudo pero cuando no ponen en el L2, en el ene game se estacionó ,2,3
AZ,32,B1,4731,Robot con fos mecanismos separados,Sale de la zona inicial ,Pone corales en el L2 y algas en el procesador, no es muy rapido y se estacionó en el último segundo ,2,2
AZ,33,B1,8741,Elevador con muñeca ,No tiene ,No se movió ,1,1
AZ,34,B1,4010,Un elevador con muñeca ,No se movió ,Fueron a jugar defensa ,2,4
AZ,36,B1,4371,Es una barra que jirafa solo funciona a gravedad ,Intenta poner una pieza en el L2, peto ,No puede poner en el L1 ,2,1
